827679:14025155|0,0,0,0,1,0,0,0,0,1,0,0,3,5,2,1,0,2,7,0,0,1,6,8,2
827679:14025125|0,0,1,1,0,0,1,15,23,2,1,2,10,11,2,0,2,11,6,2,0,0,1,5,1
827679:14025129|0,0,4,0,1,0,0,0,1,0,0,2,2,5,0,0,2,10,16,5,0,0,1,10,9
827679:14025093|0,0,0,2,0,0,0,7,2,3,0,1,10,17,2,0,1,3,16,2,0,3,8,8,2
827679:14025156|0,0,1,0,0,0,0,0,5,1,0,0,10,12,2,0,2,2,10,2,0,0,4,5,2
827679:14025064|0,2,1,0,0,0,0,1,4,2,0,1,10,11,3,0,0,3,39,11,0,2,5,11,1
827679:14025014|0,0,3,1,0,0,0,0,0,0,0,0,3,3,1,0,4,1,15,8,0,1,6,9,7
827679:14025206|0,0,5,0,0,0,0,1,1,1,0,4,5,2,0,0,1,4,17,0,3,0,5,13,5
827679:14023994|0,0,1,0,0,0,0,3,2,1,0,0,6,8,1,0,0,6,9,3,0,1,3,10,4
827679:14023929|0,0,1,1,0,0,0,1,4,0,0,1,8,16,6,0,1,4,37,5,0,2,3,5,6
827679:14025091|0,0,1,1,2,0,0,3,6,8,0,0,10,28,6,0,2,4,23,2,0,0,0,8,2
827679:14023928|0,0,0,0,0,0,0,1,2,1,0,0,6,1,2,0,0,2,10,7,0,0,8,11,12
827679:14023986|0,0,0,0,0,0,0,1,3,2,0,0,2,5,3,0,2,2,18,2,0,1,9,11,8
827679:14025181|0,0,0,0,0,0,0,0,0,3,1,0,7,13,1,0,2,9,23,5,0,1,7,9,4
827679:14025136|0,0,0,0,0,0,0,3,0,1,0,0,13,6,2,0,1,8,15,4,0,1,5,10,7
827679:14025172|0,0,0,0,0,1,1,10,10,0,0,0,13,8,4,0,3,9,10,7,1,2,2,6,5
827679:14025016|0,0,0,0,0,0,0,0,6,1,0,0,2,8,2,0,0,3,12,3,0,0,2,2,2
827679:14025058|0,0,3,1,0,0,0,0,5,1,1,0,8,11,3,1,0,5,43,4,2,1,2,6,2
827679:14025078|0,0,0,0,0,0,0,1,1,1,2,1,5,10,2,0,3,4,22,12,0,1,6,7,3
827679:14023979|0,0,0,0,0,0,0,2,0,4,0,4,7,11,0,0,6,4,35,7,0,3,4,8,7
827679:14025240|0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,6,12,2,0,2,8,11,0
827679:14025215|0,2,2,0,0,0,0,1,5,0,0,0,1,26,5,0,0,5,21,2,3,2,2,8,4
827679:15632621|0,0,1,1,3,0,0,0,1,0,0,0,4,0,0,0,0,4,14,0,0,2,7,9,4
827679:15632617|0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,0,1,2,23,6,0,1,0,6,5
827679:15632626|0,1,3,0,0,1,0,0,0,1,0,0,2,15,2,0,0,4,19,3,0,0,3,4,3
827679:14025281|0,0,0,0,3,0,1,0,4,0,0,0,1,6,4,0,1,4,21,9,0,1,8,11,7
827679:14572679|0,0,2,0,0,0,0,0,0,2,0,0,0,5,3,0,1,4,11,4,0,0,3,10,15
827679:14572677|0,0,3,2,0,0,0,2,5,2,0,0,18,21,1,0,2,9,24,9,0,0,1,13,5
827679:15631836|0,0,2,0,0,0,0,1,1,3,0,1,8,12,0,0,2,1,25,8,0,0,9,4,7
